Domain,Email,Lang,Subject,Initial sent,Status,Replied,Reply type,Follow-up sent,Interested-reply sent
charterboatpuertobanus.com,info@charterboatpuertobanus.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:18:21,sent,0,,2026-06-03T07:30:19,
banusboats.com,info@banusboats.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:18:22,sent,0,,2026-06-09T12:14:36,
watersportsbanus.com,wsportsbanus@gmail.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:18:25,sent,0,,2026-06-03T07:30:19,
marbellaboatcharter.com,info@marbellaboatcharter.com,en,Quick question about your Puerto Banus boat rentals,2026-05-30T17:38:30,sent,0,,2026-06-03T07:30:19,
yachtingsotogrande.com,skipper@yachtingsotogrande.com,en,Quick question about your Sotogrande boat rentals,2026-05-30T17:38:32,sent,0,,2026-06-03T07:30:20,
rentboatmalaga.com,info@rentboatmalaga.com,en,Quick question about your Fuengirola boat rentals,2026-05-30T17:38:34,sent,0,,2026-06-03T07:30:23,
samboat.co.uk,contact@samboat.com,en,Quick question about your Fuengirola boat rentals,2026-05-30T17:44:33,sent,0,,2026-06-03T07:30:22,
marbellayachtcharter.com,info@marbellayachtcharter.com,en,Quick question about your Marbella boat rentals,2026-05-30T17:44:35,sent,0,,2026-06-09T12:14:39,
marbella-yacht-charters.com,info@marbella-yacht-charters.com,en,Quick question about your Marbella boat rentals,2026-05-30T17:44:36,sent,0,,2026-06-03T07:30:22,
dayyachtcharters.com,info@dayyachtcharters.com,es,Pregunta rápida sobre el alquiler de barcos en Marbella,2026-05-30T17:47:23,sent,0,,2026-06-03T07:30:24,
marenauta.com,info@marenauta.com,es,Pregunta rápida sobre el alquiler de barcos en Malaga,2026-05-30T17:47:27,sent,0,,2026-06-09T12:14:41,
boatpartymalaga.com,info@boatpartymalaga.com,es,Pregunta rápida sobre el alquiler de barcos en Malaga,2026-05-30T17:47:31,sent,0,,2026-06-03T07:30:27,
yachtprospain.com,yachtprospain@gmail.com,es,Pregunta rápida sobre el alquiler de barcos en Malaga,2026-05-30T17:47:36,sent,0,,2026-06-03T07:30:21,
smartchartermarbella.com,bookings@smartchartermarbella.com,es,Pregunta rápida sobre el alquiler de barcos en Marbella,2026-05-30T17:47:40,sent,0,,2026-06-03T07:36:12,
marbellacharter.com,contact@marbellacharter.com,es,Pregunta rápida sobre el alquiler de barcos en Marbella,2026-05-30T17:47:44,sent,0,,2026-06-03T07:30:24,
nerjaliving.com,info@nerjaliving.com,es,Pregunta rápida sobre el alquiler de barcos en Nerja,2026-05-30T17:47:48,sent,0,,2026-06-03T07:30:27,
alquilerdebarcoselite.es,info@alquilerdebarcoselite.es,es,Pregunta rápida sobre el alquiler de barcos en Nerja,2026-05-30T17:47:52,sent,0,,2026-06-03T07:40:09,
puertobanusyachtcharter.com,info@puertobanusyachtcharter.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:47:56,sent,0,,2026-06-03T07:30:29,
yachtinstyle.com,enquiries@yachtinstyle.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:48:00,sent,0,,2026-06-03T07:36:06,
offshoremarbella.com,info@offshoremarbella.com,es,Pregunta rápida sobre el alquiler de barcos en Puerto Banus,2026-05-30T17:48:03,sent,0,,2026-06-03T07:30:29,
esteponaboatrental.com,info@ofblue.es,es,Pregunta rápida sobre el alquiler de barcos en Estepona,2026-05-30T17:48:07,sent,0,,2026-06-03T07:36:14,
marinamotril.net,info@marinamotril.com,es,Pregunta rápida sobre el alquiler de barcos en Motril,2026-05-30T17:48:11,sent,0,,2026-06-03T07:30:31,
europeanyachtbrokers.com,info@europeanyachtbrokers.com,es,Pregunta rápida sobre el alquiler de barcos en Motril,2026-05-30T17:48:15,sent,0,,2026-06-03T07:30:25,
